uf,Ano,Frase,Contagem,Porcentagem
BA,2023,Suicídio ,67,5.38
BA,2023,Suicídio,66,5.3
BA,2023,Mortes a esclarecer,40,3.21
BA,2023,Morte de Agente do Estado,16,1.29
BA,2024,Homicídio doloso,114,9.55
BA,2024,Feminicídio,99,8.29
BA,2024,Lesão corporal seguida de morte,98,8.21
BA,2024,Morte no trânsito,90,7.54
BA,2024,Morte por intervenção de Agente do Estado,69,5.78
BA,2024,Suicídio,64,5.36
BA,2024,Suicídio ,56,4.69
BA,2024,Mortes a esclarecer,55,4.61
BA,2024,Morte de Agente do Estado,12,01.01
CE,2015,Homicídio doloso,99,8.79
CE,2015,Feminicídio,96,8.53
CE,2015,Morte no trânsito,93,8.26
CE,2015,Suicídio ,70,6.22
CE,2015,Morte por intervenção de Agente do Estado,64,5.68
CE,2015,Lesão corporal seguida de morte,57,05.06
CE,2015,Suicídio,56,4.97
CE,2015,Mortes a esclarecer,47,4.17
CE,2015,Morte de Agente do Estado,17,1.51
CE,2016,Homicídio doloso,107,9.71
CE,2016,Morte no trânsito,95,8.62
CE,2016,Lesão corporal seguida de morte,90,8.17
CE,2016,Feminicídio,84,7.62
CE,2016,Suicídio,61,5.54
CE,2016,Suicídio ,57,5.17
CE,2016,Morte por intervenção de Agente do Estado,54,4.9
CE,2016,Mortes a esclarecer,39,3.54
CE,2016,Morte de Agente do Estado,11,1.0
CE,2017,Morte no trânsito,119,10.33
CE,2017,Lesão corporal seguida de morte,93,08.07
CE,2017,Feminicídio,87,7.55
CE,2017,Homicídio doloso,84,7.29
CE,2017,Morte por intervenção de Agente do Estado,84,7.29
CE,2017,Suicídio ,63,5.47
CE,2017,Mortes a esclarecer,48,4.17
CE,2017,Suicídio,42,3.65
CE,2017,Morte de Agente do Estado,12,01.04
CE,2018,Homicídio doloso,129,11.55
CE,2018,Morte no trânsito,113,10.12
CE,2018,Feminicídio,106,9.49
CE,2018,Lesão corporal seguida de morte,62,5.55
CE,2018,Morte por intervenção de Agente do Estado,58,5.19
CE,2018,Mortes a esclarecer,52,4.66
CE,2018,Suicídio ,46,4.12
CE,2018,Suicídio,41,3.67
CE,2018,Morte de Agente do Estado,13,1.16
CE,2019,Feminicídio,93,8.77
CE,2019,Lesão corporal seguida de morte,83,7.83
CE,2019,Morte no trânsito,81,7.64
CE,2019,Homicídio doloso,74,6.98
CE,2019,Suicídio ,60,5.66
CE,2019,Mortes a esclarecer,56,5.28
CE,2019,Suicídio,56,5.28
CE,2019,Morte por intervenção de Agente do Estado,49,4.62
CE,2019,Morte de Agente do Estado,14,1.32
CE,2020,Homicídio doloso,88,8.1
